,service_date,from_stop_departure_sec,to_stop_arrival_sec,travel_time_sec,days_since_jan1,day_of_week,is_holiday
0,2024-01-01,36985,39364,2379,0,0,1
1,2024-01-01,43189,45385,2196,0,0,1
2,2024-01-01,49496,52569,3073,0,0,1
3,2024-01-01,50586,53042,2456,0,0,1
4,2024-01-01,56920,59146,2226,0,0,1
5,2024-01-01,57400,60281,2881,0,0,1
6,2024-01-01,37594,39724,2130,0,0,1
7,2024-01-01,44390,46719,2329,0,0,1
8,2024-01-01,51789,54354,2565,0,0,1
9,2024-01-01,38700,41035,2335,0,0,1
10,2024-01-01,58480,61067,2587,0,0,1
11,2024-01-01,54516,57342,2826,0,0,1
12,2024-01-01,39292,42214,2922,0,0,1
13,2024-01-01,52796,55483,2687,0,0,1
14,2024-01-01,53583,56257,2674,0,0,1
15,2024-01-01,46595,49129,2534,0,0,1
16,2024-01-01,40391,42977,2586,0,0,1
17,2024-01-01,47198,49718,2520,0,0,1
18,2024-01-01,54102,56654,2552,0,0,1
19,2024-01-01,47564,50182,2618,0,0,1
20,2024-01-01,55245,58021,2776,0,0,1
21,2024-01-01,48300,50999,2699,0,0,1
22,2024-01-01,55718,58431,2713,0,0,1
23,2024-01-01,41596,44006,2410,0,0,1
24,2024-01-01,59438,61853,2415,0,0,1
25,2024-01-01,60155,62697,2542,0,0,1
26,2024-01-01,60638,63303,2665,0,0,1
27,2024-01-01,61126,63936,2810,0,0,1
28,2024-01-01,61601,64556,2955,0,0,1
29,2024-01-01,63752,66350,2598,0,0,1
30,2024-01-01,64839,67429,2590,0,0,1
31,2024-01-01,34643,37049,2406,0,0,1
32,2024-01-01,35226,37582,2356,0,0,1
33,2024-01-01,25857,27997,2140,0,0,1
34,2024-01-01,26457,28646,2189,0,0,1
35,2024-01-01,27068,29340,2272,0,0,1
36,2024-01-01,28386,30814,2428,0,0,1
37,2024-01-01,29099,31303,2204,0,0,1
38,2024-01-01,30672,32954,2282,0,0,1
39,2024-01-01,31380,33397,2017,0,0,1
40,2024-01-01,31742,34121,2379,0,0,1
41,2024-01-01,32587,35075,2488,0,0,1
42,2024-01-01,29583,32289,2706,0,0,1
43,2024-01-01,34259,36923,2664,0,0,1
44,2024-01-01,35278,38419,3141,0,0,1
45,2024-01-01,38093,40588,2495,0,0,1
46,2024-01-01,40895,43377,2482,0,0,1
47,2024-01-01,42088,44557,2469,0,0,1
48,2024-01-01,43799,45825,2026,0,0,1
49,2024-01-01,44991,47718,2727,0,0,1
50,2024-01-01,46086,48371,2285,0,0,1
51,2024-01-01,48989,51578,2589,0,0,1
52,2024-01-01,49981,52825,2844,0,0,1
53,2024-01-01,51187,54045,2858,0,0,1
54,2024-01-01,52288,54682,2394,0,0,1
55,2024-01-01,56317,58871,2554,0,0,1
56,2024-01-01,63034,65646,2612,0,0,1
57,2024-01-01,64242,67391,3149,0,0,1
58,2024-01-01,65438,68341,2903,0,0,1
59,2024-01-02,37084,39468,2384,1,1,0
60,2024-01-02,42792,45488,2696,1,1,0
61,2024-01-02,43289,45923,2634,1,1,0
62,2024-01-02,49495,52302,2807,1,1,0
63,2024-01-02,50089,52797,2708,1,1,0
64,2024-01-02,50688,53249,2561,1,1,0
65,2024-01-02,56804,59483,2679,1,1,0
66,2024-01-02,57520,60139,2619,1,1,0
67,2024-01-02,37790,40144,2354,1,1,0
68,2024-01-02,58716,61372,2656,1,1,0
69,2024-01-02,44885,47533,2648,1,1,0
70,2024-01-02,38482,40718,2236,1,1,0
71,2024-01-02,51887,54455,2568,1,1,0
72,2024-01-02,38992,41326,2334,1,1,0
73,2024-01-02,39386,41825,2439,1,1,0
74,2024-01-02,45593,48155,2562,1,1,0
75,2024-01-02,53599,55953,2354,1,1,0
76,2024-01-02,39892,42466,2574,1,1,0
77,2024-01-02,47761,50574,2813,1,1,0
78,2024-01-02,40784,43336,2552,1,1,0
79,2024-01-02,54626,57115,2489,1,1,0
80,2024-01-02,41779,44248,2469,1,1,0
81,2024-01-02,54985,57464,2479,1,1,0
82,2024-01-02,42390,44599,2209,1,1,0
83,2024-01-02,48833,51253,2420,1,1,0
84,2024-01-02,56202,58625,2423,1,1,0
85,2024-01-02,41294,44036,2742,1,1,0
86,2024-01-02,59444,61874,2430,1,1,0
87,2024-01-02,59916,62647,2731,1,1,0
