,service_date,from_stop_departure_sec,to_stop_arrival_sec,travel_time_sec,days_since_jan1,day_of_week,is_holiday
6049,2024-06-01,45392,47987,2595,152,5,0
6050,2024-06-01,61787,64415,2628,152,5,0
6051,2024-06-01,31237,33600,2363,152,5,0
6052,2024-06-01,65190,67911,2721,152,5,0
6053,2024-06-01,30497,33060,2563,152,5,0
6054,2024-06-01,52590,55081,2491,152,5,0
6055,2024-06-01,43296,46125,2829,152,5,0
6056,2024-06-01,42708,45719,3011,152,5,0
6057,2024-06-01,26666,28955,2289,152,5,0
6058,2024-06-01,64189,66814,2625,152,5,0
6059,2024-06-01,59587,62740,3153,152,5,0
6060,2024-06-01,27241,29541,2300,152,5,0
6061,2024-06-01,50486,53359,2873,152,5,0
6062,2024-06-01,62393,65379,2986,152,5,0
6063,2024-06-01,58984,61489,2505,152,5,0
6064,2024-06-01,57292,59931,2639,152,5,0
6065,2024-06-01,36597,38995,2398,152,5,0
6066,2024-06-01,38299,40891,2592,152,5,0
6067,2024-06-01,56188,59030,2842,152,5,0
6068,2024-06-01,49201,52240,3039,152,5,0
6069,2024-06-01,25467,27712,2245,152,5,0
6070,2024-06-01,55694,58530,2836,152,5,0
6071,2024-06-01,39999,42308,2309,152,5,0
6072,2024-06-01,47987,50894,2907,152,5,0
6073,2024-06-01,33513,36104,2591,152,5,0
6074,2024-06-01,34089,36562,2473,152,5,0
6075,2024-06-01,46787,49441,2654,152,5,0
6076,2024-06-01,25981,28631,2650,152,5,0
6077,2024-06-01,30082,32203,2121,152,5,0
6078,2024-06-01,32251,34601,2350,152,5,0
6079,2024-06-01,32943,35443,2500,152,5,0
6080,2024-06-01,34651,37127,2476,152,5,0
6081,2024-06-01,40697,43333,2636,152,5,0
6082,2024-06-01,41283,44038,2755,152,5,0
6083,2024-06-01,47394,50278,2884,152,5,0
6084,2024-06-01,51685,54394,2709,152,5,0
6085,2024-06-01,52788,55517,2729,152,5,0
6086,2024-06-01,53293,56324,3031,152,5,0
6087,2024-06-01,54792,57946,3154,152,5,0
6088,2024-06-01,59287,61891,2604,152,5,0
6089,2024-06-01,61199,63716,2517,152,5,0
6090,2024-06-01,65791,68328,2537,152,5,0
6091,2024-06-02,27058,29054,1996,153,6,0
6092,2024-06-02,32978,35382,2404,153,6,0
6093,2024-06-02,35839,38079,2240,153,6,0
6094,2024-06-02,41763,44350,2587,153,6,0
6095,2024-06-02,42563,44813,2250,153,6,0
6096,2024-06-02,47577,50806,3229,153,6,0
6097,2024-06-02,48600,51007,2407,153,6,0
6098,2024-06-02,51337,53824,2487,153,6,0
6099,2024-06-02,61289,63981,2692,153,6,0
6100,2024-06-02,56807,59295,2488,153,6,0
6101,2024-06-02,62291,64479,2188,153,6,0
6102,2024-06-02,64084,66618,2534,153,6,0
6103,2024-06-02,58492,61063,2571,153,6,0
6104,2024-06-02,25888,28139,2251,153,6,0
6105,2024-06-02,30135,32820,2685,153,6,0
6106,2024-06-02,30713,33180,2467,153,6,0
6107,2024-06-02,31274,33551,2277,153,6,0
6108,2024-06-02,32412,34653,2241,153,6,0
6109,2024-06-02,34810,37461,2651,153,6,0
6110,2024-06-02,36062,38912,2850,153,6,0
6111,2024-06-02,38225,40767,2542,153,6,0
6112,2024-06-02,38801,41500,2699,153,6,0
6113,2024-06-02,39477,41995,2518,153,6,0
6114,2024-06-02,40515,43560,3045,153,6,0
6115,2024-06-02,43822,46108,2286,153,6,0
6116,2024-06-02,44388,47099,2711,153,6,0
6117,2024-06-02,46439,49109,2670,153,6,0
6118,2024-06-02,49175,51609,2434,153,6,0
6119,2024-06-02,49754,52918,3164,153,6,0
6120,2024-06-02,54759,57382,2623,153,6,0
6121,2024-06-02,53624,56657,3033,153,6,0
6122,2024-06-02,55386,57632,2246,153,6,0
6123,2024-06-02,55989,58573,2584,153,6,0
6124,2024-06-02,57907,60218,2311,153,6,0
6125,2024-06-02,59808,62414,2606,153,6,0
6126,2024-06-02,60895,63820,2925,153,6,0
6127,2024-06-02,62790,65499,2709,153,6,0
6128,2024-06-03,60060,63295,3235,154,0,0
6129,2024-06-03,36321,38846,2525,154,0,0
6130,2024-06-03,33600,36170,2570,154,0,0
6131,2024-06-03,33139,35818,2679,154,0,0
6132,2024-06-03,29707,32276,2569,154,0,0
6133,2024-06-03,63045,65765,2720,154,0,0
6134,2024-06-03,26459,29115,2656,154,0,0
6135,2024-06-03,43951,46873,2922,154,0,0
6136,2024-06-03,61241,64085,2844,154,0,0
6137,2024-06-03,35638,38151,2513,154,0,0
6138,2024-06-03,60645,63834,3189,154,0,0
6139,2024-06-03,35191,37674,2483,154,0,0
6140,2024-06-03,46793,49620,2827,154,0,0
6141,2024-06-03,34050,36437,2387,154,0,0
6142,2024-06-03,59090,62651,3561,154,0,0
6143,2024-06-03,46347,49152,2805,154,0,0
6144,2024-06-03,39504,42109,2605,154,0,0
6145,2024-06-03,64962,67980,3018,154,0,0
6146,2024-06-03,32345,34735,2390,154,0,0
6147,2024-06-03,32581,35115,2534,154,0,0
6148,2024-06-03,61840,64657,2817,154,0,0
6149,2024-06-03,64382,67091,2709,154,0,0
6150,2024-06-03,63888,66564,2676,154,0,0
6151,2024-06-03,34508,36873,2365,154,0,0
6152,2024-06-03,30656,33144,2488,154,0,0
6153,2024-06-03,30423,32620,2197,154,0,0
6154,2024-06-03,28502,31085,2583,154,0,0
6155,2024-06-03,29350,31987,2637,154,0,0
6156,2024-06-03,34855,37644,2789,154,0,0
6157,2024-06-03,39184,41829,2645,154,0,0
6158,2024-06-03,38693,41422,2729,154,0,0
6159,2024-06-03,39844,42440,2596,154,0,0
6160,2024-06-03,42002,45136,3134,154,0,0
6161,2024-06-03,41551,44163,2612,154,0,0
